"","NAME_CHAR","n"
"1",NA,48650208
"2","I10 Essential (Primary) Hypertension",401102
"3","F41.9 Anxiety Disorder, Unspecified",130711
"4","E11.9 Type 2 Diabetes Mellitus Without Complications",129394
"5","F41.1 Generalized Anxiety Disorder",114191
"6","E78.5 Hyperlipidemia, Unspecified",102823
"7","F33.1 Major Depressive Disorder, Recurrent, Moderate",79826
"8","311 Depressive Disorder, Not Elsewhere Classified",79264
"9","E78.2 Mixed Hyperlipidemia",74265
"10","E11.65 Type 2 Diabetes Mellitus With Hyperglycemia",62022
"11","E66.9 Obesity, Unspecified",60426
"12","F43.10 Post-Traumatic Stress Disorder, Unspecified",60328
"13","F17.200 Nicotine Dependence, Unspecified, Uncomplicated",55075
"14","300.00 Anxiety State, Unspecified",45475
"15","F32.9 Major Depressive Disorder, Single Episode, Unspecified",44082
"16","E66.01 Morbid (Severe) Obesity Due To Excess Calories",38425
"17","250.00 Type II Diabetes Mellitus [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Not Stated As Uncontrolled, Without Mention Of Complication",35038
"18","305.1 Tobacco Use Disorder",33808
"19","E66.3 Overweight",33306
"20","E78.00 Pure Hypercholesterolemia, Unspecified",32757
"21","272.4 Other And Unspecified Hyperlipidemia",31431
"22","F41.8 Other Specified Anxiety Disorders",28943
"23","F33.2 Major Depressive Disorder, Recurrent Severe Without Psychotic Features",28614
"24","E66.09 Other Obesity Due To Excess Calories",24076
"25","E11.8 Type 2 Diabetes Mellitus With Unspecified Complications",23693
"26","F31.9 Bipolar Disorder, Unspecified",23065
"27","F32.1 Major Depressive Disorder, Single Episode, Moderate",21427
"28","278.00 Obesity, Unspecified",21042
"29","F33.0 Major Depressive Disorder, Recurrent, Mild",19073
"30","F10.10 Alcohol Abuse, Uncomplicated",16789
"31","F41.0 Panic Disorder [Episodic Paroxysmal Anxiety] Without Agoraphobia",16568
"32","F43.23 Adjustment Disorder With Mixed Anxiety And Depressed Mood",16433
"33","F17.210 Nicotine Dependence, Cigarettes, Uncomplicated",15788
"34","F43.21 Adjustment Disorder With Depressed Mood",15716
"35","F33.9 Major Depressive Disorder, Recurrent, Unspecified",15271
"36","F11.20 Opioid Dependence, Uncomplicated",14974
"37","F34.1 Dysthymic Disorder",14932
"38","244.9 Unspecified Hypothyroidism",14213
"39","309.81 Prolonged Posttraumatic Stress Disorder",13458
"40","296.32 Major Depressive Disorder, Recurrent Episode, Moderate Degree",13353
"41","300.4 Neurotic Depression",13050
"42","300.02 Generalized Anxiety Disorder",12900
"43","E11.69 Type 2 Diabetes Mellitus With Other Specified Complication",12623
"44","296.20 Major Depressive Disorder, Single Episode, Unspecified Degree",12152
"45","E78.1 Pure Hyperglyceridemia",11873
"46","F10.20 Alcohol Dependence, Uncomplicated",11844
"47","F39 Unspecified Mood [Affective] Disorder",11618
"48","F51.01 Primary Insomnia",11069
"49","F31.81 Bipolar II Disorder",11032
"50","E11.42 Type 2 Diabetes Mellitus With Diabetic Polyneuropathy",10910
"51","F32.0 Major Depressive Disorder, Single Episode, Mild",10828
"52","E78.4 Other Hyperlipidemia",10518
"53","250.02 Type II Diabetes Mellitus [Non-Insulin Dependent Type] [Niddm Type] [Adult-Onset Type] Or Unspecified Type, Uncontrolled, Without Mention Of Complication",10173
"54","F90.9 Attention-Deficit Hyperactivity Disorder, Unspecified Type",10009
"55","F32.89 Other Specified Depressive Episodes",9661
"56","F33.41 Major Depressive Disorder, Recurrent, In Partial Remission",9569
"57","F43.12 Post-Traumatic Stress Disorder, Chronic",9367
"58","296.30 Major Depressive Disorder, Recurrent Episode, Unspecified Degree",9052
"59","268.9 Unspecified Vitamin D Deficiency",9021
"60","F32.2 Major Depressive Disorder, Single Episode, Severe Without Psychotic Features",8603
"61","F10.21 Alcohol Dependence, In Remission",8087
"62","E66.8 Other Obesity",8007
"63","E11.40 Type 2 Diabetes Mellitus With Diabetic Neuropathy, Unspecified",7947
"64","F33.3 Major Depressive Disorder, Recurrent, Severe With Psychotic Symptoms",7786
"65","F99 Mental Disorder, Not Otherwise Specified",7781
"66","F19.10 Other Psychoactive Substance Abuse, Uncomplicated",7769
"67","278.01 Morbid Obesity",7741
"68","272.2 Mixed Hyperlipidemia",7306
"69","296.80 Manic-Depressive Psychosis, Unspecified",7229
"70","F90.2 Attention-Deficit Hyperactivity Disorder, Combined Type",6998
"71","Z86.59 Personal History Of Other Mental And Behavioral Disorders",6862
"72","F25.0 Schizoaffective Disorder, Bipolar Type",6787
"73","E11.22 Type 2 Diabetes Mellitus With Diabetic Chronic Kidney Disease",6771
"74","F43.9 Reaction To Severe Stress, Unspecified",6558
"75","272.0 Pure Hypercholesterolemia",6390
"76","F11.21 Opioid Dependence, In Remission",6388
"77","F90.0 Attention-Deficit Hyperactivity Disorder, Predominantly Inattentive Type",6307
"78","305.00 Alcohol Abuse, Unspecified Drinking Behavior",6238
"79","F51.04 Psychophysiologic Insomnia",6084
"80","F43.22 Adjustment Disorder With Anxiety",5880
"81","F12.90 Cannabis Use, Unspecified, Uncomplicated",5805
"82","F31.32 Bipolar Disorder, Current Episode Depressed, Moderate",5226
"83","F51.05 Insomnia Due To Other Mental Disorder",5209
"84","F20.0 Paranoid Schizophrenia",5059
"85","F20.9 Schizophrenia, Unspecified",5029
