"","PROVIDER_ID","L1","L2","L3"
"1","385B60AB-3EB4-45DC-B4B4-776A3ABD3CA4","Dental Providers","Dental Hygienist","General - Not specified"
"2","1D066280-CBC2-4491-A0DA-ADD55D9D19CD","Dental Providers","Denturist","General - Not specified"
"3","D6362F2E-EECC-4A23-A140-09F291F93FBB","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Obstetrics & Gynecology"
"4","D455DE50-1646-4ACF-BA57-7A71B641F40D","Allopathic & Osteopathic Physicians","Internal Medicine","General - Not specified"
"5","CEA1A99C-1735-4577-A675-30E6ED8D9A9E","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Primary Care"
"6","C69C90DF-DA9E-4CAA-8F9F-970C10A76975","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"7","CB29A747-2A02-4F0C-A604-634C7DCF0854","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"8","AC74689B-1E5B-452E-BF8B-41B8A571EFFF","Nursing Service Providers","Registered Nurse","General - Not specified"
"9","E5A1F425-7826-4235-A10D-36DDC900E5E2","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"10","337D6887-A61D-47E9-A13F-C6DC55B96D47","Behavioral Health & Social Service Providers","Counselor","Mental Health"
"11","E49167F0-BF57-4422-8023-05A83990B94B","Allopathic & Osteopathic Physicians","Obstetrics & Gynecology","General - Not specified"
"12","105D25CE-D1C4-4524-B602-59A07C6F360C","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"13","CB8E77BE-EEAD-4A66-92BE-A4E0BE24E30B","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","General - Not specified"
"14","0004773A-D075-4D96-A93E-84FCFFEBFAF3","Allopathic & Osteopathic Physicians","Family Medicine","General - Not specified"
"15","5F5D5D21-7C13-4A8B-9F0E-B72B9150D149","Allopathic & Osteopathic Physicians","Psychiatry & Neurology","Neurology"
"16","E3866F0F-3D42-4CC5-889F-13F5BCD92BF8","Allopathic & Osteopathic Physicians","General Practice","General - Not specified"
"17","4900CA1E-6C90-40B1-9582-4E9F5ADEF99A","Physician Assistants & Advanced Practice Nursing Providers","Nurse Practitioner","Obstetrics & Gynecology"
"18","DA52E4C2-BCA2-440F-B38D-300B7A9AC215","Allopathic & Osteopathic Physicians","Internal Medicine","General - Not specified"
